  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    6.905     0       -16.3     -16.0       1.8622     0.0009     1.8207     0.0012    0.04200    0.00042 
    6.910     0       -15.8     -15.5       1.8368     0.0011     1.7914     0.0053    0.04520    0.00849 
    6.925     0       -15.9     -15.5       1.8134     0.0015     1.7817     0.0021    0.03100    0.00354 
    6.930     0       -16.0     -15.6       1.8157     0.0005     1.7850     0.0013    0.03090    0.00085 
    6.935     0       -15.7     -15.3       1.8223     0.0007     1.7932     0.0012    0.02907    0.00091 
    6.940     0       -16.1     -15.9       1.8275     0.0013     1.7942     0.0022    0.03333    0.00100 
    6.945     0       -15.8     -15.8       1.8310     0.0005     1.7929     0.0037    0.03810    0.00416 
    6.950     0       -15.7     -15.8       1.8378     0.0011     1.7962     0.0037    0.04153    0.00415 
    6.955     0       -16.3     -16.5       1.8418     0.0009     1.8026     0.0031    0.03913    0.00291 
    6.960     0       -16.3     -16.5       1.8457     0.0004     1.8026     0.0022    0.04210    0.00141 
    6.965     0       -16.0     -16.3       1.8361     0.0013     1.7977     0.0004    0.03840    0.00161 
    6.970     0       -16.0     -16.3       1.8394     0.0001     1.8050     0.0007    0.03447    0.00059 
    6.975     0       -16.0     -16.3       1.8413     0.0006     1.8101     0.0004    0.03127    0.00075 
    6.980     0       -16.1     -16.5       1.8390     0.0006     1.8095     0.0010    0.02957    0.00047 
    6.985     0       -16.0     -16.4       1.8289     0.0003     1.7989     0.0002    0.03003    0.00029 
    6.990     0       -16.4     -16.7       1.8182     0.0003     1.7858     0.0008    0.03237    0.00104 
    6.995     0       -16.1     -16.4       1.8045     0.0008     1.7736     0.0004    0.03075    0.00120 
    7.055     0       -16.2     -16.0       1.8153     0.0204     1.7980     0.0036    0.01785    0.02524 
    7.060     0       -15.9     -15.7       1.8173     0.0180     1.7997     0.0043    0.01585    0.02242 
    7.065     0       -16.0     -15.7       1.8156     0.0169     1.8013     0.0021    0.01335    0.01888 
    7.075     0       -16.1     -15.8       1.8264     0.0015     1.8019     0.0015    0.02470    0.00354 
    7.110     0       -15.8     -16.1       1.8584     0.0004     1.8138     0.0004    0.04470    0.00085 
    7.115     0       -16.0     -16.4       1.8581     0.0008     1.8083     0.0004    0.04960    0.00127 
    7.120     0       -15.9     -16.3       1.8548     0.0006     1.8056     0.0001    0.04920    0.00071 
    7.125     0       -15.9     -16.3       1.8589     0.0001     1.8085     0.0001    0.05040    0.00000 
    7.130     0       -16.0     -16.5       1.8560     0.0003     1.8071     0.0000    0.04890    0.00028 
    7.135     0       -15.7     -16.1       1.8597     0.0011     1.8112     0.0003    0.04850    0.00141 
    7.140     0       -16.2     -16.6       1.8620     0.0003     1.8169     0.0004    0.04515    0.00021 
    7.145     0       -16.2     -16.5       1.8678     0.0004     1.8246     0.0000    0.04320    0.00042 
    7.150     0       -15.9     -16.2       1.8662     0.0002     1.8230     0.0003    0.04315    0.00064 
    7.155     0       -15.8     -16.0       1.8668     0.0006     1.8232     0.0001    0.04360    0.00057 
    7.160     0       -16.1     -16.3       1.8718     0.0002     1.8290     0.0003    0.04275    0.00049 
    7.165     0       -15.9     -16.0       1.8755     0.0002     1.8316     0.0004    0.04390    0.00057 
    7.170     0       -15.9     -16.0       1.8809     0.0003     1.8333     0.0001    0.04760    0.00042 
    7.175     0       -15.9     -15.9       1.8861     0.0004     1.8372     0.0003    0.04890    0.00014 
    7.180     0       -15.9     -15.9       1.8898     0.0000     1.8416     0.0000    0.04820    0.00000 
    7.185     0       -16.0     -16.0       1.8957     0.0002     1.8476     0.0008    0.04805    0.00106 
    7.190     0       -16.0     -15.9       1.8999     0.0000     1.8518     0.0001    0.04815    0.00007 
    7.195     0       -15.6     -15.5       1.9058     0.0002     1.8561     0.0001    0.04965    0.00007 
    7.200     0       -15.5     -15.4       1.9092     0.0001     1.8607     0.0004    0.04855    0.00021 
    7.205     0       -16.0     -15.8       1.9140     0.0008     1.8661     0.0004    0.04790    0.00113 
    7.210     0       -15.7     -15.5       1.9188     0.0000     1.8707     0.0006    0.04810    0.00057 
    7.215     0       -16.0     -15.8       1.9207     0.0002     1.8710     0.0001    0.04970    0.00014 
    7.220     0       -16.0     -15.8       1.9248     0.0003     1.8724     0.0002    0.05245    0.00007 
    7.225     0       -16.0     -15.8       1.9233     0.0003     1.8706     0.0006    0.05270    0.00028 
    7.230     0       -15.4     -15.1       1.9136     0.0006     1.8610     0.0001    0.05265    0.00064 
    7.235     0       -15.6     -15.6       1.8903     0.0005     1.8357     0.0002    0.05460    0.00028 
    7.240     0       -16.0     -16.2       1.8662     0.0004     1.8334     0.0284    0.03280    0.02847 
    7.245     0       -15.6     -15.9       1.8590     0.0003     1.8223     0.0079    0.03650    0.00778 
    7.250     0       -15.6     -16.0       1.8792     0.0018     1.8262     0.0119    0.05365    0.01379 
    7.255     0       -15.6     -16.0       1.9131     0.0004     1.8678     0.0036    0.04560    0.00368 
    7.260     0       -15.6     -16.0       1.9585     0.0004     1.9122     0.0005    0.04605    0.00007 
    7.265     0       -15.8     -16.2       1.9869     0.0008     1.9389     0.0003    0.04803    0.00055 
    7.270     0       -16.0     -16.4       2.0006     0.0003     1.9499     0.0003    0.05067    0.00055 
    7.275     0       -15.8     -16.3       1.9970     0.0001     1.9441     0.0005    0.05293    0.00055 
    7.280     0       -15.7     -16.2       1.9905     0.0002     1.9364     0.0005    0.05417    0.00051 
    7.285     0       -15.7     -16.2       1.9838     0.0006     1.9279     0.0003    0.05593    0.00075 
    7.290     0       -15.8     -16.2       1.9817     0.0008     1.9239     0.0002    0.05783    0.00070 
    7.295     0       -15.9     -16.2       1.9837     0.0005     1.9252     0.0002    0.05843    0.00040 
    7.300     0       -15.7     -16.1       1.9851     0.0005     1.9261     0.0004    0.05907    0.00035 
    7.305     0       -15.9     -16.2       1.9837     0.0003     1.9235     0.0004    0.06020    0.00030 
    7.310     0       -16.3     -16.5       1.9813     0.0004     1.9193     0.0004    0.06193    0.00012 
    7.315     0       -15.7     -15.9       1.9806     0.0004     1.9179     0.0003    0.06273    0.00025 
    7.320     0       -15.7     -15.8       1.9805     0.0003     1.9194     0.0003    0.06113    0.00032 
    7.325     0       -16.0     -16.1       1.9809     0.0006     1.9224     0.0003    0.05853    0.00075 
    7.330     0       -15.5     -15.6       1.9846     0.0008     1.9283     0.0003    0.05633    0.00086 
    7.335     0       -15.7     -15.7       1.9898     0.0004     1.9366     0.0003    0.05317    0.00025 
    7.340     0       -15.6     -15.6       1.9947     0.0004     1.9449     0.0005    0.04980    0.00044 
    7.345     0       -15.8     -15.7       1.9979     0.0004     1.9492     0.0005    0.04867    0.00055 
    7.350     0       -15.8     -15.7       1.9942     0.0010     1.9454     0.0002    0.04880    0.00110 
    7.355     0       -15.7     -15.6       1.9867     0.0003     1.9351     0.0003    0.05153    0.00055 
    7.360     0       -15.6     -15.5       1.9758     0.0003     1.9212     0.0004    0.05463    0.00015 
    7.365     0       -16.0     -15.8       1.9750     0.0004     1.9194     0.0003    0.05553    0.00015 
    7.370     0       -15.6     -15.4       1.9784     0.0008     1.9240     0.0006    0.05437    0.00021 
    7.375     0       -15.4     -15.2       1.9816     0.0010     1.9275     0.0008    0.05403    0.00021 
    7.380     0       -15.9     -15.7       1.9809     0.0002     1.9287     0.0003    0.05200    0.00014 
    9.590     27      -14.5     -14.5       1.9163     0.0055     1.8737     0.0061    0.04260    0.00282 
    9.600     27      -14.2     -14.2       1.9043     0.0035     1.8581     0.0098    0.04627    0.00750 
    9.610     27      -14.1     -14.1       1.9087     0.0033     1.8600     0.0067    0.04873    0.00344 
    9.620     27      -14.2     -14.2       1.9031     0.0017     1.8575     0.0092    0.04567    0.00867 
    9.630     27      -14.2     -14.2       1.9079     0.0024     1.8604     0.0073    0.04753    0.00511 
    9.640     27      -14.0     -14.0       1.9067     0.0034     1.8696     0.0056    0.03707    0.00218 
    9.650     27      -14.0     -14.0       1.8866     0.0068     1.8527     0.0059    0.03390    0.00201 
    9.660     27      -13.9     -13.9       1.8978     0.0010     1.8591     0.0027    0.03870    0.00341 
    9.670     27      -14.1     -14.1       1.9215     0.0023     1.8694     0.0020    0.05210    0.00292 
    9.680     27      -14.1     -14.1       1.9598     0.0005     1.9001     0.0012    0.05967    0.00115 
    9.690     27      -14.0     -14.0       1.9658     0.0018     1.8995     0.0026    0.06627    0.00078 
    9.700     27      -13.9     -13.9       1.9666     0.0029     1.8994     0.0037    0.06713    0.00081 
    9.710     27      -13.9     -13.9       1.9709     0.0009     1.9031     0.0017    0.06783    0.00090 
    9.720     27      -14.1     -14.1       1.9329     0.0024     1.8851     0.0110    0.04777    0.00870 
    9.730     27      -14.0     -14.0       1.9375     0.0029     1.8748     0.0044    0.06270    0.00329 
    9.740     27      -13.9     -13.9       1.9331     0.0017     1.8732     0.0062    0.05990    0.00452 
    9.750     27      -13.7     -13.7       1.9196     0.0014     1.8680     0.0072    0.05153    0.00577 
    9.760     27      -13.9     -13.9       1.9013     0.0040     1.8601     0.0030    0.04113    0.00677 
    9.770     27      -13.9     -13.9       1.8857     0.0071     1.8359     0.0062    0.04983    0.00170 
    9.780     27      -14.0     -14.0       1.9011     0.0061     1.8527     0.0039    0.04843    0.00367 
    9.790     27      -13.8     -13.8       1.9159     0.0060     1.8573     0.0028    0.05857    0.00715 
    9.800     27      -13.9     -13.9       1.9240     0.0023     1.8566     0.0013    0.06740    0.00260 
    9.810     27      -14.0     -14.0       1.9103     0.0027     1.8512     0.0038    0.05910    0.00240 
    9.820     27      -13.9     -13.9       1.9133     0.0041     1.8561     0.0009    0.05713    0.00343 
    9.830     27      -13.9     -13.9       1.9231     0.0017     1.8634     0.0027    0.05970    0.00431 
   10.445     0       -15.6     -15.9       1.8997     0.0021     1.8687     0.0016    0.03120    0.00453 
   10.465     0       -15.9     -16.2       1.8682     0.0187     1.8527     0.0033    0.01555    0.02199 
   10.475     0       -15.6     -16.0       1.8866     0.0012     1.8698     0.0224    0.03180 
   10.490     0       -15.7     -16.0       1.9131     0.0034     1.8679     0.0025    0.04520    0.00475 
   10.495     0       -15.6     -15.9       1.9166     0.0001     1.8709     0.0018    0.04675    0.00049 
   10.500     0       -15.8     -16.0       1.9241     0.0010     1.8777     0.0009    0.04643    0.00154 
   10.505     0       -16.1     -16.3       1.9340     0.0009     1.8859     0.0014    0.04810    0.00171 
   10.510     0       -15.7     -15.9       1.9423     0.0011     1.8930     0.0002    0.04937    0.00102 
   10.515     0       -15.5     -15.7       1.9466     0.0003     1.8953     0.0009    0.05127    0.00064 
   10.520     0       -15.8     -15.9       1.9441     0.0010     1.8917     0.0008    0.05237    0.00142 
   10.525     0       -15.5     -15.6       1.9334     0.0005     1.8813     0.0011    0.05255    0.00163 
   10.530     0       -15.7     -15.8       1.9229     0.0006     1.8700     0.0006    0.05320    0.00099 
   10.535     0       -15.7     -15.7       1.9074     0.0003     1.8584     0.0014    0.04897    0.00118 
   10.540     0       -15.9     -15.9       1.8943     0.0018     1.8506     0.0012    0.04430    0.00198 
   10.545     0       -15.9     -15.9       1.8874     0.0010     1.8467     0.0014    0.04077    0.00145 
   10.550     0       -15.9     -15.8       1.8866     0.0030     1.8456     0.0015    0.04103    0.00411 
   10.555     0       -16.0     -15.9       1.8848     0.0004     1.8457     0.0011    0.03910    0.00089 
   10.560     0       -15.7     -15.6       1.8931     0.0007     1.8527     0.0009    0.03995    0.00106 
   10.565     0       -15.9     -15.8       1.9007     0.0000     1.8602     0.0013    0.04015    0.00163 
   10.570     0       -15.9     -15.7       1.9007     0.0005     1.8600     0.0005    0.04073    0.00074 
   10.575     0       -15.5     -15.5       1.8940     0.0011     1.8561     0.0013    0.03775    0.00290 
   10.580     0       -16.0     -16.2       1.8902     0.0015     1.8485     0.0011    0.04260    0.00113 
   10.595     0       -15.7     -16.0       1.8817     0.0005     1.8476     0.0043    0.03640    0.00240 
   10.600     0       -15.9     -16.3       1.8866     0.0007     1.8485     0.0017    0.03803    0.00104 
   10.605     0       -15.8     -16.2       1.8919     0.0018     1.8511     0.0037    0.04073    0.00343 
   10.610     0       -15.7     -16.0       1.8922     0.0014     1.8537     0.0033    0.04030    0.00042 
   10.615     0       -15.9     -16.3       1.8995     0.0004     1.8543     0.0007    0.04550    0.00099 
   10.620     0       -15.8     -16.2       1.9085     0.0005     1.8666     0.0006    0.04220    0.00057 
   11.805     0       -16.2     -16.4       1.8744     0.0022     1.8444     0.0011    0.02940    0.00156 
   11.810     0       -16.0     -16.2       1.8696     0.0025     1.8377     0.0033    0.03210    0.00014 
   11.815     0       -16.1     -16.3       1.8826     0.0017     1.8492     0.0017    0.03337    0.00190 
   11.820     0       -16.0     -16.2       1.8872     0.0025     1.8554     0.0018    0.03177    0.00075 
   11.825     0       -16.4     -16.7       1.8941     0.0019     1.8631     0.0017    0.03100    0.00026 
   11.830     0       -16.0     -16.3       1.8972     0.0015     1.8677     0.0011    0.02950    0.00072 
   11.835     0       -16.3     -16.6       1.8950     0.0025     1.8661     0.0021    0.02887    0.00049 
   11.840     0       -16.2     -16.5       1.8915     0.0024     1.8633     0.0028    0.02817    0.00051 
   11.845     0       -16.1     -16.5       1.8822     0.0038     1.8568     0.0025    0.02537    0.00196 
   11.850     0       -16.1     -16.4       1.8753     0.0030     1.8520     0.0036    0.02330    0.00161 
   11.855     0       -16.0     -16.3       1.8769     0.0028     1.8530     0.0031    0.02393    0.00127 
   11.860     0       -16.0     -16.3       1.8894     0.0003     1.8621     0.0014    0.02733    0.00119 
   11.865     0       -15.9     -16.1       1.8893     0.0015     1.8591     0.0029    0.03023    0.00180 
   11.870     0       -15.9     -16.1       1.8822     0.0006     1.8511     0.0055    0.03110    0.00586 
   11.905     0       -16.2     -16.2       1.9014     0.0094     1.8624     0.0078    0.03907    0.00163 
   11.910     0       -16.2     -16.1       1.9276     0.0013     1.8850     0.0003    0.04257    0.00159 
   11.915     0       -15.9     -15.8       1.9237     0.0009     1.8855     0.0021    0.03775    0.00134 
   11.920     0       -15.8     -15.7       1.9129     0.0008     1.8796     0.0005    0.03310    0.00141 
   11.930     0       -15.7     -15.5       1.9003     0.0028     1.8687     0.0062    0.03080    0.00283 
   11.935     0       -16.1     -15.9       1.9077     0.0012     1.8742     0.0008    0.03365    0.00078 
   11.940     0       -16.0     -15.9       1.9237     0.0002     1.8840     0.0005    0.03977    0.00070 
