  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    1.285     1       -16.1     -15.6       1.6172     0.0090     1.5754     0.0125    0.04180    0.00355 
    1.290     1       -16.1     -15.5       1.6381     0.0087     1.5956     0.0085    0.04253    0.00067 
    1.295     1       -15.9     -15.3       1.6567     0.0078     1.6125     0.0075    0.04420    0.00060 
    1.300     1       -16.0     -15.3       1.6810     0.0053     1.6344     0.0059    0.04663    0.00072 
    1.305     1       -16.0     -15.9       1.6945     0.0033     1.6454     0.0039    0.04907    0.00070 
    1.310     1       -16.0     -16.3       1.6935     0.0015     1.6449     0.0021    0.04863    0.00065 
    1.315     1       -15.9     -16.4       1.6807     0.0010     1.6343     0.0016    0.04640    0.00062 
    1.320     1       -16.1     -16.7       1.6633     0.0012     1.6199     0.0019    0.04337    0.00064 
    1.325     1       -16.3     -17.1       1.6488     0.0015     1.6077     0.0017    0.04110    0.00017 
    1.330     1       -16.1     -16.9       1.6363     0.0028     1.5957     0.0031    0.04060    0.00036 
    1.335     1       -16.1     -17.0       1.6220     0.0033     1.5830     0.0026    0.03900    0.00072 
    1.340     1       -16.2     -17.2       1.6110     0.0033     1.5732     0.0048    0.03780    0.00208 
    1.345     1       -16.2     -16.9       1.6035     0.0025     1.5663     0.0027    0.03717    0.00025 
    1.350     1       -16.3     -16.8       1.5963     0.0030     1.5619     0.0028    0.03437    0.00177 
    1.355     1       -16.2     -16.6       1.5824     0.0043     1.5197     0.0464    0.03490    0.00354 
    1.405     1       -16.1     -15.6       1.6561     0.0047     1.5615     0.0908    0.04225    0.00247 
    1.410     1       -16.1     -15.6       1.6834     0.0018     1.5743     0.1094    0.04585    0.00106 
    1.415     1       -16.1     -15.6       1.7109     0.0021     1.5883     0.1272    0.04915    0.00092 
    1.420     1       -16.0     -15.5       1.7257     0.0023     1.6053     0.1232    0.04930    0.00127 
    2.355     4       -16.0     -15.4       1.8346     0.0006     1.7728     0.0005    0.06180    0.00044 
    2.360     4       -16.0     -15.4       1.8202     0.0024     1.7603     0.0018    0.05983    0.00093 
    2.365     4       -16.0     -15.3       1.8012     0.0013     1.7419     0.0010    0.05930    0.00070 
    2.370     4       -15.9     -15.7       1.7670     0.0034     1.7088     0.0067    0.05823    0.00364 
    2.375     4       -16.0     -16.1       1.7615     0.0013     1.6936     0.0226    0.05550    0.00000 
    2.380     4       -15.9     -16.3       1.7546     0.0004     1.6957     0.0010    0.05887    0.00055 
    2.385     4       -15.9     -16.4       1.7471     0.0012     1.6869     0.0010    0.06013    0.00025 
    2.390     4       -16.1     -16.6       1.7420     0.0003     1.6799     0.0008    0.06207    0.00081 
    2.395     4       -16.0     -16.7       1.7438     0.0008     1.6831     0.0025    0.06067    0.00175 
    2.400     4       -16.0     -16.6       1.7399     0.0007     1.6829     0.0006    0.05707    0.00047 
    2.405     4       -16.0     -16.7       1.7276     0.0012     1.6739     0.0014    0.05377    0.00049 
    2.410     4       -16.0     -16.8       1.7116     0.0007     1.6606     0.0013    0.05100    0.00062 
    2.415     4       -16.2     -17.0       1.7081     0.0001     1.6583     0.0008    0.04987    0.00072 
    2.420     4       -16.0     -16.8       1.7102     0.0007     1.6614     0.0006    0.04880    0.00036 
    2.425     4       -16.2     -16.8       1.7119     0.0011     1.6647     0.0018    0.04717    0.00145 
    2.430     4       -16.2     -16.6       1.7148     0.0010     1.6517     0.0244    0.04955    0.00007 
    2.435     4       -16.1     -16.4       1.7178     0.0002     1.6656     0.0010    0.05217    0.00086 
    2.440     4       -16.1     -16.3       1.7213     0.0005     1.6694     0.0003    0.05187    0.00050 
    2.445     4       -16.1     -16.2       1.7221     0.0005     1.6707     0.0001    0.05137    0.00047 
    2.450     4       -16.2     -16.2       1.7211     0.0011     1.6703     0.0003    0.05080    0.00087 
    2.455     4       -16.1     -16.0       1.7256     0.0004     1.6742     0.0006    0.05140    0.00100 
    2.460     4       -16.1     -15.9       1.7362     0.0005     1.6846     0.0004    0.05160    0.00056 
    2.465     4       -15.9     -15.7       1.7424     0.0012     1.6903     0.0005    0.05210    0.00079 
    2.470     4       -16.2     -15.8       1.7411     0.0010     1.6889     0.0002    0.05223    0.00091 
    2.475     4       -16.0     -15.6       1.7382     0.0008     1.6863     0.0005    0.05187    0.00126 
    2.480     4       -16.2     -15.7       1.7332     0.0002     1.6834     0.0007    0.04980    0.00085 
    2.485     4       -15.9     -15.4       1.7253     0.0006     1.6787     0.0011    0.04660    0.00046 
    2.490     4       -16.1     -15.6       1.7203     0.0002     1.6745     0.0006    0.04580    0.00061 
    2.495     4       -15.8     -15.3       1.7226     0.0013     1.6750     0.0004    0.04757    0.00163 
    2.500     4       -16.0     -15.4       1.7279     0.0020     1.6783     0.0001    0.04967    0.00207 
    2.505     4       -15.9     -15.3       1.7348     0.0022     1.6840     0.0002    0.05073    0.00208 
    2.510     4       -15.9     -15.3       1.7395     0.0028     1.6871     0.0008    0.05240    0.00207 
    2.515     4       -15.8     -15.7       1.7369     0.0032     1.6851     0.0013    0.05183    0.00190 
    2.520     4       -15.9     -16.2       1.7238     0.0005     1.6761     0.0006    0.04770    0.00020 
    2.525     4       -15.9     -16.3       1.7166     0.0007     1.6704     0.0014    0.04620    0.00078 
    2.530     4       -16.0     -16.6       1.7156     0.0002     1.6695     0.0004    0.04610    0.00056 
    2.535     4       -16.0     -16.7       1.7169     0.0002     1.6694     0.0007    0.04743    0.00058 
    2.540     4       -16.1     -16.9       1.7128     0.0013     1.6640     0.0003    0.04877    0.00105 
    2.935     6       -16.1     -15.5       1.7535     0.0001     1.7009     0.0002    0.05263    0.00015 
    2.940     6       -15.8     -15.2       1.7531     0.0003     1.7005     0.0003    0.05260    0.00010 
    2.945     6       -16.0     -15.5       1.7501     0.0009     1.6991     0.0009    0.05097    0.00012 
    2.950     6       -16.1     -16.1       1.7420     0.0020     1.6932     0.0019    0.04880    0.00066 
    2.955     6       -16.0     -16.3       1.7361     0.0005     1.6855     0.0008    0.05060    0.00046 
    2.960     6       -16.1     -16.5       1.7292     0.0003     1.6787     0.0005    0.05047    0.00025 
    2.965     6       -16.2     -16.7       1.7268     0.0003     1.6781     0.0007    0.04867    0.00058 
    2.970     6       -16.0     -16.6       1.7304     0.0024     1.6615     0.0379    0.04765    0.00163 
    2.975     6       -15.9     -16.6       1.7320     0.0008     1.6801     0.0063    0.04855    0.00064 
    2.980     6       -16.1     -16.9       1.7309     0.0011     1.6834     0.0006    0.04747    0.00107 
    2.985     6       -16.4     -17.1       1.7288     0.0020     1.6842     0.0020    0.04460    0.00020 
    2.990     6       -16.2     -17.0       1.7256     0.0011     1.6845     0.0007    0.04107    0.00042 
    2.995     6       -16.0     -16.8       1.7140     0.0015     1.6745     0.0017    0.03943    0.00189 
    3.000     6       -16.1     -16.7       1.6973     0.0011     1.6988     0.0613    0.03380    0.00424 
    3.005     6       -16.1     -16.5       1.6733     0.0033     1.6458     0.0011    0.02753    0.00281 
    3.010     6       -16.2     -16.4       1.6715     0.0043     1.6401     0.0019    0.03137    0.00333 
    3.015     6       -16.1     -16.2       1.6766     0.0038     1.6424     0.0046    0.03417    0.00267 
    3.020     6       -16.2     -16.2       1.6846     0.0033     1.6522     0.0013    0.03243    0.00436 
    3.025     6       -16.0     -16.0       1.6827     0.0014     1.6904     0.0613    0.02765    0.00318 
    3.030     6       -16.2     -16.1       1.6766     0.0011     1.6796     0.0707    0.03785    0.00276 
    3.060     6       -16.0     -15.5       1.6548     0.0010     1.6380     0.0551    0.04845    0.00629 
    3.065     6       -16.0     -15.5       1.6627     0.0093     1.6415     0.0461    0.04770    0.00396 
    3.070     6       -16.3     -15.7       1.7071     0.0040     1.6469     0.0049    0.05760    0.00127 
    3.075     6       -16.1     -15.5       1.7394     0.0008     1.6743     0.0005    0.06507    0.00071 
    3.080     6       -15.8     -15.2       1.7493     0.0009     1.6842     0.0010    0.06507    0.00023 
    3.085     6       -16.0     -15.4       1.7522     0.0023     1.6872     0.0021    0.06500    0.00026 
    3.090     6       -15.9     -15.9       1.7545     0.0006     1.6880     0.0014    0.06653    0.00085 
    3.095     6       -16.0     -16.4       1.7442     0.0011     1.6825     0.0019    0.06170    0.00101 
    3.100     6       -16.0     -16.5       1.7331     0.0017     1.6634     0.0237    0.05695    0.00191 
    3.105     6       -16.1     -16.6       1.7281     0.0018     1.6606     0.0251    0.05365    0.00163 
    3.370     7       -16.1     -15.5       1.7709     0.0028     1.7208     0.0021    0.05007    0.00076 
    3.375     7       -16.0     -15.4       1.7767     0.0001     1.7262     0.0002    0.05007    0.00076 
    3.380     7       -16.0     -15.4       1.7759     0.0002     1.7266     0.0002    0.05053    0.00006 
    3.385     7       -16.0     -15.4       1.7773     0.0001     1.7268     0.0002    0.04930    0.00036 
    3.390     7       -16.1     -15.8       1.7830     0.0002     1.7309     0.0005    0.05047    0.00021 
    3.395     7       -16.1     -16.4       1.7890     0.0002     1.7357     0.0004    0.05207    0.00031 
    3.400     7       -15.9     -16.4       1.7876     0.0006     1.7347     0.0004    0.05333    0.00047 
    3.405     7       -16.2     -16.9       1.7775     0.0003     1.7278     0.0001    0.05293    0.00068 
    3.410     7       -16.0     -16.8       1.7567     0.0004     1.7113     0.0011    0.04970    0.00026 
    3.415     7       -16.0     -16.8       1.7354     0.0015     1.6935     0.0021    0.04540    0.00066 
    3.420     7       -16.2     -17.1       1.7294     0.0004     1.6865     0.0004    0.04190    0.00066 
    3.425     7       -16.1     -17.1       1.7272     0.0005     1.6827     0.0002    0.04297    0.00061 
    3.430     7       -16.2     -17.0       1.7283     0.0004     1.6811     0.0008    0.04447    0.00064 
    3.435     7       -16.1     -16.7       1.7258     0.0001     1.6798     0.0012    0.04727    0.00112 
    3.440     7       -16.4     -16.9       1.7232     0.0007     1.6792     0.0012    0.04607    0.00119 
